"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-01-01","22.4","28.8","15.8"
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-01-02","22.8","29.4","15.0"
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-01-03","21.3","30.8",
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-01-04","23.4","32.4",
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-01-05","23.6","31.1",
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-01-06","22.1","28.0","14.9"
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-01-07","20.6","27.7",
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-01-08","21.8","28.9",
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-01-09","22.7","27.8",
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-01-10","23.9","29.8",
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-01-11","24.2","29.0","20.2"
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-01-12","24.9","29.6",
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-01-13","22.6","27.5",
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-01-14","23.2","27.6","20.4"
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-01-15","22.6","27.1",
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-01-16","22.3","29.5","15.9"
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-01-17","23.3","30.6",
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-01-18","22.5","29.8",
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-01-19","23.2","30.3",
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-01-20","21.0","30.4",
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-01-21","21.4","30.3","10.7"
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-01-22","20.4","29.5",
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-01-23","21.2","29.0",
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-01-24","21.8","28.8",
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-01-25","21.8","29.0","16.1"
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-01-26","21.4","28.5",
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-01-27","22.6","28.5","13.9"
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-01-28","22.8","29.0","17.5"
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-01-29","23.3","29.4","19.0"
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-01-30","22.8","30.3",
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-01-31","22.0","31.0",
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-02-01","22.2","29.7",
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-02-02","23.6","30.9",
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-02-03","24.6","31.1",
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-02-04","24.9","31.4","18.3"
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-02-05","24.1",,
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-02-06","24.1","31.3",
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-02-07","24.3","31.0",
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-02-08","24.3","31.6",
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-02-09","24.3","33.1",
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-02-10","23.8","31.9",
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-02-11","24.8","29.8","18.3"
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-02-12","25.2","33.4",
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-02-13","25.7","33.8",
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-02-14","27.2","35.4",
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-02-15","27.5","34.3","20.2"
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-02-16","25.7","33.0",
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-02-17","26.8","35.2",
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-02-18","27.1","34.4","20.0"
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-02-19","28.2","35.3",
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-02-20","27.8","35.5",
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-02-21","27.6","35.6",
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-02-22","27.9","35.7","21.8"
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-02-23","27.6","35.3","21.0"
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-02-24","28.1","35.1",
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-02-25","27.2","36.2",
"IN001080500","BEGUMPET OBSERVATORY, IN","2010-02-26","28.2","34.9",
